rank,pmid,title,journal,pub_date,doi,pmcid,matched_top_journal,disease_axis,imaging_axis,design_axis,score,download_status,pdf_path,selection_reason
11,41178584,Prognostic Value of Exercise Right Ventricular-Pulmonary Arterial Coupling in Primary Mitral Regurgitation.,Circulation,2025 Dec 09,10.1161/CIRCULATIONAHA.125.073778,,Circulation,心衰/心肌病、瓣膜/结构心、血管/卒中、心律/电生理,Echo/Ultrasound,多中心/跨地区、独立验证、临床结局、真实世界/队列,45.07,未发现PMCID开放全文；需用户/图书馆下载,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标
12,41139402,Short-Term Anticoagulation Versus Dual Antiplatelet Therapy for Preventing Device Thrombosis Following Left Atrial Appendage Closure: The ANDES Randomized Clinical Trial.,Circulation,2025 Dec 23,10.1161/CIRCULATIONAHA.125.077469,,Circulation,血管/卒中、心律/电生理,Echo/Ultrasound,随机/试验设计、前瞻性、多中心/跨地区、临床结局,45.07,未发现PMCID开放全文；需用户/图书馆下载,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
13,40884047,Sacubitril/Valsartan and Prevention of Cardiac Dysfunction During Adjuvant Breast Cancer Therapy: The PRADA II Randomized Clinical Trial.,Circulation,2025 Oct 21,10.1161/CIRCULATIONAHA.125.076616,PMC12537036,Circulation,心衰/心肌病、血管/卒中,CMR/MRI、Echo/Ultrasound,随机/试验设计、多中心/跨地区、临床结局,45.07,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
14,40406943,Impact of Optical Coherence Tomography-Based Post-PCI Physiology Assessment to Predict Clinical Outcomes: An ILUMIEN-IV Substudy.,Journal of the American College of Cardiology,2025 Jul 15,10.1016/j.jacc.2025.05.019,,Journal of the American College of Cardiology (JACC),冠心病/冠脉、血管/卒中,OCT/angiography,随机/试验设计、多中心/跨地区、临床结局,44.98,未发现PMCID开放全文；需用户/图书馆下载,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
15,41107201,Extension of the GRACE score for non-ST-elevation acute coronary syndrome: a development and validation study in ten countries.,The Lancet. Digital health,2025 Oct,10.1016/j.landig.2025.100907,,The Lancet Digital Health,冠心病/冠脉、心衰/心肌病、血管/卒中,OCT/angiography、AI/radiomics,外部验证、临床结局、校准/决策曲线、真实世界/队列、判别性能,44.57,未发现PMCID开放全文；需用户/图书馆下载,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；可借鉴AI影像研究写法
16,40229468,Synthetic generation of cardiac tissue motion from surface electrocardiograms.,Nature cardiovascular research,2025 Apr,10.1038/s44161-025-00629-x,,Nature Cardiovascular Research,心律/电生理,Echo/Ultrasound,随机/试验设计、外部验证、临床结局、判别性能,44.32,未发现PMCID开放全文；需用户/图书馆下载,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
17,39222896,Impact of Renal and Liver Function on Clinical Outcomes Following Tricuspid Valve Transcatheter Edge-to-Edge Repair.,Journal of the American College of Cardiology,2024 Dec 17,10.1016/j.jacc.2024.08.044,,Journal of the American College of Cardiology (JACC),心衰/心肌病、瓣膜/结构心、血管/卒中,Echo/Ultrasound,随机/试验设计、前瞻性、临床结局,44.28,未发现PMCID开放全文；需用户/图书馆下载,,影像与心血管问题直接耦合；连接临床结局而非只报模型指标；设计层级较高
18,39217601,Strain surveillance during chemotherapy to improve cardiovascular outcomes: the SUCCOUR-MRI trial.,European heart journal,2024 Nov 07,10.1093/eurheartj/ehae574,PMC11542702,European Heart Journal,心衰/心肌病、血管/卒中,CMR/MRI、Echo/Ultrasound,随机/试验设计、前瞻性、临床结局,44.2,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；连接临床结局而非只报模型指标；设计层级较高
19,39196989,Optical coherence tomography predictors of clinical outcomes after stent implantation: the ILUMIEN IV trial.,European heart journal,2024 Nov 14,10.1093/eurheartj/ehae521,PMC11560276,European Heart Journal,冠心病/冠脉、血管/卒中,OCT/angiography,随机/试验设计、前瞻性、临床结局,44.2,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；连接临床结局而非只报模型指标；设计层级较高
20,40512496,Outcomes of Endovascular Treatment in Patients With Vertebrobasilar Artery Occlusion Beyond 24 Hours.,JAMA network open,2025 Jun 02,10.1001/jamanetworkopen.2025.15526,PMC12166486,JAMA Network Open,血管/卒中,CT/CCTA,随机/试验设计、前瞻性、多中心/跨地区、临床结局、真实世界/队列,43.82,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
